Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regretion Test,Chrome 97.0.4692.99,,,2022-02-02 13:58:17,2022-02-02 14:01:07,2m - 49.609s,PASSED
,,,,,,,
Test Cases/Login_Valid,Chrome 97.0.4692.99,,,2022-02-02 13:58:18,2022-02-02 13:59:11,53.697s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-02 13:58:18,2022-02-02 13:58:21,3.087s,PASSED
"navigateToUrl(""https://www.bukalapak.com/"")",Chrome 97.0.4692.99,,,2022-02-02 13:58:21,2022-02-02 13:58:29,8.067s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Situs Belanja Online dan Jual Beli Mud_3c8940/p_Login""))",Chrome 97.0.4692.99,,,2022-02-02 13:58:29,2022-02-02 13:58:34,4.429s,PASSED
"setText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Nomor handphone atau email_LoginID""), ""testqatinton@gmail.com"")",Chrome 97.0.4692.99,,,2022-02-02 13:58:34,2022-02-02 13:58:37,3.476s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Accounts/span_Lanjut""))",Chrome 97.0.4692.99,,,2022-02-02 13:58:37,2022-02-02 13:58:38,0.438s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Lanjut_Password""), ""7/sDHkklWiy9BTSZEhg+nw=="")",Chrome 97.0.4692.99,,,2022-02-02 13:58:38,2022-02-02 13:58:39,0.773s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Accounts/button_Login""))",Chrome 97.0.4692.99,,,2022-02-02 13:58:39,2022-02-02 13:58:39,0.402s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Situs Belanja Online dan Jual Beli Mud_3c8940/path""))",Chrome 97.0.4692.99,,,2022-02-02 13:58:39,2022-02-02 13:59:11,31.673s,PASSED
takeScreenshot(),Chrome 97.0.4692.99,,,2022-02-02 13:59:11,2022-02-02 13:59:11,0.805s,PASSED
,,,,,,,
Test Cases/Bukalapak/Login_Invalid/Email_Email,Chrome 97.0.4692.99,,,2022-02-02 13:59:11,2022-02-02 14:00:02,50.931s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-02 13:59:12,2022-02-02 13:59:15,2.690s,PASSED
"navigateToUrl(""https://www.bukalapak.com/"")",Chrome 97.0.4692.99,,,2022-02-02 13:59:15,2022-02-02 13:59:22,7.603s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Situs Belanja Online dan Jual Beli Mud_3c8940/p_Login""))",Chrome 97.0.4692.99,,,2022-02-02 13:59:22,2022-02-02 13:59:27,4.494s,PASSED
"setText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Nomor handphone atau email_LoginID""), ""Email"")",Chrome 97.0.4692.99,,,2022-02-02 13:59:27,2022-02-02 13:59:30,3.059s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Accounts/span_Lanjut""))",Chrome 97.0.4692.99,,,2022-02-02 13:59:30,2022-02-02 13:59:30,0.475s,PASSED
"verifyElementText(findTestObject(""Notifikasi_Login/p_User tidak ditemukan""), ""Akun tidak ditemukan. Periksa dan coba lagi ya."")",Chrome 97.0.4692.99,,,2022-02-02 13:59:30,2022-02-02 14:00:02,31.749s,PASSED
takeScreenshot(),Chrome 97.0.4692.99,,,2022-02-02 14:00:02,2022-02-02 14:00:02,0.407s,PASSED
,,,,,,,
Test Cases/Bukalapak/Login_Invalid/Email_Null,Chrome 97.0.4692.99,,,2022-02-02 14:00:02,2022-02-02 14:00:24,21.429s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-02 14:00:03,2022-02-02 14:00:05,2.639s,PASSED
"navigateToUrl(""https://www.bukalapak.com/"")",Chrome 97.0.4692.99,,,2022-02-02 14:00:05,2022-02-02 14:00:13,7.606s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Situs Belanja Online dan Jual Beli Mud_3c8940/p_Login""))",Chrome 97.0.4692.99,,,2022-02-02 14:00:13,2022-02-02 14:00:19,6.331s,PASSED
"setText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Nomor handphone atau email_LoginID""), """")",Chrome 97.0.4692.99,,,2022-02-02 14:00:19,2022-02-02 14:00:22,3.112s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Accounts/span_Lanjut""))",Chrome 97.0.4692.99,,,2022-02-02 14:00:22,2022-02-02 14:00:23,0.427s,PASSED
"verifyElementText(findTestObject(""Notifikasi_Login/p_Form harus diisi dulu ya""), ""Form harus diisi dulu ya"")",Chrome 97.0.4692.99,,,2022-02-02 14:00:23,2022-02-02 14:00:23,0.477s,PASSED
takeScreenshot(),Chrome 97.0.4692.99,,,2022-02-02 14:00:23,2022-02-02 14:00:24,0.437s,PASSED
,,,,,,,
Test Cases/Bukalapak/Login_Invalid/Pwd_Salah,Chrome 97.0.4692.99,,,2022-02-02 14:00:24,2022-02-02 14:00:46,21.965s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-02 14:00:24,2022-02-02 14:00:27,2.772s,PASSED
"navigateToUrl(""https://www.bukalapak.com/"")",Chrome 97.0.4692.99,,,2022-02-02 14:00:27,2022-02-02 14:00:35,7.555s,PASSED
"click(findTestObject(""Object Repository/Login_Valid/Page_Situs Belanja Online dan Jual Beli Mud_3c8940/p_Login""))",Chrome 97.0.4692.99,,,2022-02-02 14:00:35,2022-02-02 14:00:40,5.517s,PASSED
"setText(findTestObject(""Object Repository/Login_Valid/Page_Accounts/input_Nomor handphone atau email_LoginID""), ""testqatinton@gmail.com"")",Chrome 97.0.4692.99,,,2022-02-02 14:00:40,2022-02-02 14:00:43,2.947s,PASSED
